,会社名,給与,初年度年収
0,株式会社モバイルコミュニケーションズ,＜関東＞ ◆経験者：月給23万円以上 ◆未経験：月給18.5万円以上 ＜大阪＞ ◆経験者：月給23万円以上 ◆…,250万円～600万円
1,KDDIエンジニアリング株式会社 | 【東証1部・KDDIグループ】★「健康経営優良法人2021」認定,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキル等を考慮の上、優遇します。 ★…,450万円～650万円
18,KDDIエンジニアリング株式会社 | 【KDDIグループ】★「健康経営優良法人2021」認定,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキルなどを考慮の上、優遇します。 …,450万円～650万円
19,株式会社スタッフサービス | ＜実績No.1＞年間休日125日★未経験70％★産育休復帰多数,東京／月給20万円〜 神奈川・大阪／月給19万円〜 埼玉・千葉・愛知・兵庫／月給18万円〜 京都／月給17万2…,250万円～350万円
20,株式会社スタッフサービス | <在宅あり>プライベート充実の働き方を応援♪育休取得率100％,東京／月給20万円〜 神奈川・大阪／月給19万円〜 埼玉・千葉・愛知・兵庫／月給18万円〜 京都／月給17万2…,250万円～350万円
21,KDDIエンジニアリング株式会社 | 【東証1部・KDDIグループ】★「健康経営優良法人2021」認定,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキル等を考慮の上、優遇します。 ★…,450万円～650万円
22,KDDIエンジニアリング株式会社 | 【東証1部・KDDIグループ】★「健康経営優良法人2021」認定,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキル等を考慮の上、優遇します。 ★…,450万円～650万円
23,株式会社セノン | 大阪府緊急雇用対策に賛同／賞与最大年3回／福利厚生充実,"月給17万5,000円~+各種手当+賞与 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いたします …",350万円～500万円
24,KDDIエンジニアリング株式会社 | 【KDDIグループ】★「健康経営優良法人2021」認定,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキルなどを考慮の上、優遇します。 …,450万円～650万円
25,リフェコ株式会社 | 《働きやすさ◎》年間休日115日＋有給平均取得日数10日！,月給20万円〜47万円 + 諸手当 + インセンティブ ※上記はあくまで最低保証額です。年齢、経験、能力を考…,不明
26,KDDIエンジニアリング株式会社 | 【KDDIグループ】★「健康経営優良法人2021」認定,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキルなどを考慮の上、優遇します。 …,450万円～650万円
27,KDDIエンジニアリング株式会社 | 【KDDIグループ】★「健康経営優良法人2021」認定,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキルなどを考慮の上、優遇します。 …,450万円～650万円
28,株式会社アウトソーシングテクノロジー | SS事業本部ｌ東証一部上場企業グループ／土日祝休み／残業少なめ,"◆月給208,000円以上＋各種手当・報奨金 ※前職給与や経験・スキルなどを考慮し加給・優遇します。 ※上…",250万円～450万円
29,KDDIエンジニアリング株式会社 | 【KDDI(東証1部上場)の子会社】★「健康経営優良法人2021」認定,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキルなどを考慮の上、優遇します。 …,450万円～650万円
30,KDDIエンジニアリング株式会社 | 【KDDIグループ】★「健康経営優良法人2021」認定,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキルなどを考慮の上、優遇します。 …,450万円～650万円
31,エフエルシープレミアム株式会社 | 【大阪府緊急雇用対策に賛同】東証二部上場企業のグループ！,"月給23万5000円以上 + 毎月インセンティブ ＋ 各種手当 ※固定残業代（5万8,280円以上/45時間相当）含む…",400万円～1000万円
32,KDDIエンジニアリング株式会社 | 【KDDIグループ】★「健康経営優良法人2021」認定,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキルなどを考慮の上、優遇します。 …,450万円～650万円
33,株式会社アウトソーシングテクノロジー | #手に職をつける#将来の可能性を広げる#業績好調#WEB面接可,◇月給20万円〜45万円＋一律手当＋賞与年2回 ※スキル・経験年数・年齢等を考慮し話し合いの上、優遇しま…,280万円～600万円
34,株式会社 One's Will | 《Web面接》★残業月5h程度★週2～3日在宅ワーク★ノルマなし,"月給 250,000円〜 ※経験・能力などを考慮し、当社規定にて決定。 ※上記金額には、20時間分の固定残業代…",350万円～700万円
35,ケーイングジャパン株式会社 | ＼京セラ、富士通など大手企業と取引／◆6月に名古屋事務所Open,月給22万円以上 ※経験や能力を考慮し決定いたします。,不明
36,株式会社エージェントゲート | ★有給取得率100％★産休育休取得＆復帰率100％★定着率90％超★,月給22〜30万円 ※上記には一律のみなし残業手当が含まれています。 ※30時間分／4万円以上 ⇒みなし残…,264万円～600万円
37,株式会社ボードルア | ★残業ほぼなし★完全週休2日(年休125日以上)★オフィスは六本木,月給20万7000円〜50万円＋賞与＋交通費＋残業手当+その他手当 【給与とは別に資格手当もあります！】 CC…,300万円～700万円
38,三邑株式会社 | 【経験者は前職給与を考慮】ほぼ全社員が前職以上の給与を実現！,◆未経験／月給24万円〜28万円＋諸手当 ◆経験者(2級管工事施工管理技士クラスの経験)／月給32万円〜40万…,350万円～600万円
39,横浜植木株式会社 | ＼今年で創立130周年／明治中期から続く、園芸会社のパイオニア,月給34.2万円〜45.6万円＋各種手当・賞与年2回支給 ※経験やスキルを考慮し、優遇します。,540万円～720万円
40,株式会社メディア工房 | 東証マザーズ上場★Web占いコンテンツで業界トップクラスの実績,"月給28万円以上 ※試用期間6ヵ月（待遇面の変更はありません） ※月45時間相当の見込み残業手当（72,200…",300万円～500万円
41,株式会社KDDIエボルバ | [JR仙台駅直結のビルで働く]★60名採用★年休123日★完全週休2日,"月給21万6,000円〜26万3,000円+各種手当(残業代は1分単位で支給) ※経験/スキルを考慮 ※一時金支給実績…",300万円～380万円
42,株式会社アウトソーシングテクノロジー | SS事業本部ｌ東証一部上場企業グループ／土日祝休み／残業少なめ,"◆月給220,000円以上＋各種手当・報奨金 ※上記金額は35時間の固定残業代（月46,935円以上）を含み、超過…",250万円～450万円
43,株式会社KDDIエボルバ | ★学んだことが将来に役立つ★安定・安心がある仕事★年休123日,月給19万円〜＋各種手当 ※試用期間は3ヶ月間（給与変動なし） ※ご本人のスキルなどにより昇給あり 【…,250万円～300万円
44,株式会社ジャストワーク | 働きやすさ◎／土日祝休み／有給消化率70%,◇月給28万円〜 ※試用期間6ヶ月（同待遇） ※面談の上、前職の給与額・経験・実績を考慮して優遇します,330万円～500万円
45,株式会社ユニゾンベックス | 【自社内開発】プロ野球球団・有名SNSなど案件豊富★残業1日1h程,月給28万円以上 ※経験・能力・スキルを考慮し決定いたします。 ※試用期間2ヶ月あり（期間中の待遇に変…,350万円～600万円
46,株式会社クロップス | 《 東証一部上場企業 》★今後も新店舗をOPEN予定です！,"月給21万6,000円以上＋賞与年2回＋インセンティブ ☆関東エリアは別途手当15,000円が付与 ※年齢、経験…",320万円～500万円
47,株式会社グラスト | ★会社作りに一から携われる★20代中心に活躍中★定着率ほぼ100%,未経験者：月給22万円〜25万円 法人営業経験者：月給25万円〜35万円,300万円～450万円
48,アイサンテクノロジー株式会社 | JASDAQ上場　※年間休日125日／フレックス／仙台市役所すぐ,月給22万円〜30万円＋各種手当＋賞与 ※昨年度実績5.14ヶ月分 ※経験・能力などを考慮して決定します。,不明
49,アイサンテクノロジー株式会社 | JASDAQ上場　※年間休日125日／フレックス／西宮駅より徒歩8分,月給22万円〜30万円＋各種手当＋賞与 ※昨年度実績5.14ヶ月分 ※経験・能力などを考慮して決定します。,不明
50,アイサンテクノロジー株式会社 | JASDAQ上場　※年間休日125日／フレックス／「中川駅」徒歩4分,月給22万円〜30万円＋各種手当＋賞与 ※昨年度実績5.14ヶ月分 ※経験・能力などを考慮して決定します。,不明
51,株式会社パワーエッジ | 【コロナ禍でも安定】★完全週休2日★残業月10h以下★在宅勤務OK,"月給:26万円〜60万円＋賞与年2回＋決算賞与 ※経験・能力を考慮の上、決定します。 ※固定残業代（7万3,…",300万円～750万円
52,ドリームカプセル株式会社 | 11年連続で増収黒字の安定基盤｜全国に直営店を積極展開中,月給19万〜30万円 ※あなたの経験・能力を考慮し、決定します。,不明
53,横浜植木株式会社 | 【歴史ある企業／園芸会社のパイオニア】残業少&年間休日116日,"月給／28万1,000円〜45万6,000円　＋各種手当・賞与年2回支給 ※経験やスキルを考慮し、優遇します。 ※…",400万円～720万円
