,会社名,給与,初年度年収
22,株式会社神戸製鋼所 | 東証一部上場企業／遠方にお住まいの方はWEB面接も可！,"月給：173,560円〜＋各種手当 ※試用期間2ヶ月あり（期間中待遇の変動なし） ※残業手当有（全額支給） …",270万円～450万円
23,ドコモ・データコム株式会社 | 【設立58年！NTTのグループ企業☆業界のパイオニア的企業です】,"■時給2,500円以上 ＜月収例＞375,000円 ※IT系の業務経験のレベルにより増額あり！",450万円～500万円
24,セキスイハイム中部株式会社 | 半年後、正社員登用制度あり！※勤務地応相談,月給20万円以上 ※今回の転職が不利にならないよう、経験・年齢を考慮した上で決定します。,350万円～700万円
25,株式会社frame inf | ゴールデン番組～ネット配信まで幅広いジャンルを手掛ける！,月給26万円〜35万円 ※経験・スキルなどを考慮のうえ、優遇します。 ※上記には固定残業代（月60時間分…,350万円～500万円
26,株式会社インタージェット | ★残業ほぼなし★年間休日120日【大阪府緊急雇用対策に賛同】,月給24万円〜＋諸手当＋賞与年2回（5ヵ月分実績） ※年齢・経験・スキルを十分考慮の上、当社規定により…,不明
27,株式会社グッドスタッフ | ◆WEB面接OK◆積極的に新規事業展開／20代活躍中！役職者多数,"月給：206,786円〜 ※経験・年齢などを考慮し、決定します。 ※上記には20時間分の固定残業代（26,786円…",300万円～500万円
28,新教育総合研究会株式会社 | 大阪府緊急雇用対策に賛同｜ホワイト企業大賞など多数受賞歴あり,"◆月給23万500円〜 ※経験・スキル・能力を考慮の上、決定します ※上記月給には固定残業代5万5,000円〜…",300万円～450万円
29,株式会社KKIT OFFICE | ヒルナンデス／バゲット／いただきハイジャンプ／ドラマ,■経験者／ディレクター経験者・・・月給30万円〜 　　　　　AD経験者・・・月給24万円〜（経験3年目以降…,300万円～720万円
30,株式会社サンライズプロモーション東京 | 完全週休2日制◆年休120日以上◆残業月30h以下◆フレックス制,"月給23万3,000円〜41万500円 ※上記は最低保証額。年齢・経験・能力を考慮の上、優遇します。 ※上記に…",350万円～700万円
31,株式会社アズマックス | NHKダーウィンが来た!/千鳥のスポーツ立志伝/グレートネイチャー,月給20万円〜＋諸手当＋業績賞与年2回 ※スキル・経験を考慮し、当社規定により決定します。 ※試用期間3…,300万円～400万円
32,オールニッポンヘリコプター株式会社 | 経験を活かして幅広い活躍を！賞与4カ月分／有給休暇取得推奨,月給24万円〜34万円＋賞与年2回（昨年実績4か月分）＋別途残業代全額支給 ※試用期間6か月（その間の待遇…,384万円～600万円
33,ウッドオフィスキャリア株式会社 | 【テレビ業界で抜群の知名度を誇る「ウッドオフィスグループ」】,月給26万円〜40万円 ※あなたのスキル・経験を考慮の上、決定いたします。 ※月45時間分の固定残業代（67…,350万円～500万円
34,株式会社維新ネット | 月給26万円～/完全週休2日＋年15日休＋有給希望100％,◆月給26万円〜35万円 ※短期的な成果は求めません。じっくりと育てます。 ※経験、スキルを考慮の上、決…,350万円～500万円
35,株式会社パシフィックボイス | 「レ・ミゼラブル」などのミュージカルで活躍する俳優も所属！,年俸制252万円以上（1／12を月々支給） ※職能、職歴にあわせ応相談 ※試用期間6ヶ月/同条件,不明
36,株式会社福岡金文堂 | 明治45年創業の歴史ある書店｜昇給年1回｜賞与年2回,"月給168,000円〜＋各種手当 ※経験・能力・年齢を考慮の上、決定いたします",不明
37,株式会社エース | 様々な個性のモデルが活躍するモデル事務所／女性スタッフ活躍中,月給20万円〜 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間6ヶ月あり（待遇変動なし） 【…,300万円～400万円
38,重松兄弟設備株式会社 | 【県内トップクラスの設備会社】コロナワクチン特別休暇あり★,"【月給】173,000円 （基本給＋一律手当含む）〜＋諸手当 ※上記はあくまでも新卒未経験者の最低保障額で…",250万円～400万円
39,株式会社極東電視台 | 世界の果てまでイッテQ！/モヤモヤさまぁ～ず2/有吉の壁…etc.,◆東京（赤坂営業所） 月給26万円以上 ◆名古屋 月給24万円以上 〜以下、共通〜 ※経験・年齢・スキル…,320万円～400万円
