,会社名,給与,初年度年収
48,株式会社エージェントゲート | ★有給取得率100％★産休育休取得＆復帰率100％★定着率90％超★,月給22〜30万円 ※上記には一律のみなし残業手当が含まれています。 ※30時間分／4万円以上 ⇒みなし残…,264万円～600万円
49,株式会社ボードルア | ★残業ほぼなし★完全週休2日(年休125日以上)★オフィスは六本木,月給20万7000円〜50万円＋賞与＋交通費＋残業手当+その他手当 【給与とは別に資格手当もあります！】 CC…,300万円～700万円
50,株式会社日本システム | 【NTT西日本の代理店】◎19時退社徹底 ◎20～30代活躍中,"月給24万5,000円〜33万円＋インセンティブ＋賞与年2回 ※年齢やスキル、経験などを考慮した上で決定しま…",400万円～600万円
51,テニック株式会社 | 大手『NTTぷらら』のグループ会社◆時差出勤/テレワーク推奨中,■年俸制／257万円〜1000万円（1/12を毎月支給） ※経験・年齢を考慮の上、当社規定により優遇・決定し…,257万円～1000万円
52,アイコムシステック株式会社 | 東証1部企業グループ★残業月15h以下★年末年始に最大16連休OK,【月給】36万円以上 ※前職給与保証 ※さらに年齢、経験などを考慮します ※賞与前年実績5.2ヵ月分 ※試…,400万円～1000万円
53,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
54,株式会社IIJプロテック | 昨年賞与実績年3.3ヶ月分／IT知識不問／提案先は学校や公共施設,月給25万円〜50万円＋残業代全額支給 ※前職・経験を考慮し決定します。 ※上記金額には、時間外労働の有…,350万円～500万円
55,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
56,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
57,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
58,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
59,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
60,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
61,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
62,株式会社トップ | ＜33歳＊月給例＞月給29万1000円＋インセン＋賞与＋通勤手当,月給26万5000円以上＋インセンティブ＋賞与＋通勤交通費（月最大10万円まで） ※成果次第で随時、昇給・…,350万円～1000万円
