,会社名,初年度年収,給与
16,株式会社スタッフサービス | <在宅あり>豊富な研修制度★育休取得率100％★女性活躍中,250万円～350万円,東京／月給20万円〜 神奈川・大阪／月給19万円〜 埼玉・千葉・愛知・兵庫／月給18万円〜 京都／月給17万2…
17,ｍａテレコム株式会社 | 東証一部上場・丸紅グループ◆福利厚生充実◆全国募集＆転勤なし,不明,【関東】月給21万円　※群馬県は月給19万円 【関西】月給20万5000円 【東北】月給19万5000円　※青森県は…
18,日本通信サービス株式会社 | 【 大手商社丸紅グループ 】■年間休日126日以上／残業月平均20h,不明,月給18万円〜23万円＋各種手当＋賞与年2回 ◎経験・能力を考慮し優遇します。 ◎残業代は全額支給します。
19,エフエルシープレミアム株式会社 | 【大阪府緊急雇用対策に賛同】東証二部上場企業のグループ！,400万円～1000万円,"月給23万8000円以上 + 毎月インセンティブ ＋ 各種手当 ※固定残業代（5万9,024円以上/45時間相当）含む…"
20,株式会社アイビス | 《 転勤なし 》お絵かきアプリ「ibisPaint」が1億3000万DL突破！,350万円～600万円,★月給25万〜50万円+各種手当+賞与2回 ※待遇面はご相談ください。 ※あなたの経験を考慮して決定いたし…
21,株式会社エージェントゲート | ビッグプロジェクトにも参画！大手プライム多数/前給最大限保証,264万円～600万円,経験3年以上の方／月給30万円〜 経験1年以上〜3年未満／月給25万円〜35万円 経験1年未満／月給23万円〜30…
22,株式会社エージェントゲート | 大手プライム多数/前職以上の給与最大限保証/リモート勤務有,264万円～600万円,経験3年以上の方／月給30万円〜 経験1年以上〜3年未満／月給25万円〜 経験1年未満／月給23万円〜 ★前給…
23,株式会社エージェントゲート | 化粧品メーカー等と取引/産育休取得＆復帰100％/残業基本なし,264万円～600万円,月給22〜30万円 ※上記には一律のみなし残業手当が含まれています。 ※30時間分／4万円以上 ⇒みなし残…
24,株式会社エージェントゲート | 直近も増益の安定基盤/残業基本なし/リモート勤務も実施中です,264万円～600万円,月給22〜30万円 ※上記には一律のみなし残業手当が含まれています。 ※30時間分／4万円以上 ⇒みなし残…
25,株式会社エージェントゲート | 大手企業とも取引/残業基本なし/リモート勤務有/年休130日,264万円～600万円,月給22〜35万円 ※上記には一律のみなし残業手当が含まれています。 ※30時間分／4万円以上 ⇒みなし残…
26,株式会社エージェントゲート | 大手プライム多数/前職最大限保証/定着率94％/年休130日,264万円～600万円,経験3年以上の方／月給30万円〜 経験1年以上〜3年未満／月給25万円〜 経験1年未満／月給23万円〜 ★前給…
27,株式会社モバイルコミュニケーションズ,250万円～600万円,＜関東＞ ◆経験者：月給23万円以上 ◆未経験：月給18.5万円以上 ＜大阪＞ ◆経験者：月給23万円以上 ◆…
28,株式会社 One's Will | ★未経験入社1年目の平均年収450万円★残業月10～15時間程度,300万円～700万円,"【関東】 月給250,000円〜 ※試用期間中:月給230,000円〜 【関西】 月給240,000円〜 ※試用期間中：月給…"
29,株式会社ドリーム・サービス | 未経験から年収700万円を目指せる/基本定時退社/有休消化100％,不明,月給 21万円 〜 30万円 + 諸手当 + 賞与(年2回) 《モデル年収例》 年収700万円／25歳・経験3年 年収400…
30,Earth Technology株式会社 | 英語力を活かせる／IT未経験入社9割／文系出身8割／女性活躍中,300万円～500万円,"◆関東エリア：月給225,000円以上＋賞与年2回 ◆関西エリア：月給215,000円以上＋賞与年2回 ◆札幌エリア…"
31,テクバン株式会社 | 【創業以来黒字経営／産育休・復帰実績多数♪／賞与年2回】,300万円～600万円,月給22万円以上＋諸手当＋賞与年2回＋業績賞与（業績による） ※経験・年齢を考慮の上、当社規定により…
32,株式会社アウトソーシングテクノロジー | SS事業本部ｌ東証一部上場企業グループ／土日祝休み／残業少なめ,250万円～450万円,"◆月給220,000円以上＋各種手当・報奨金 ※上記金額は35時間の固定残業代（月46,935円以上）を含み、超過…"
33,ビジネスエンジニアリング株式会社 | 東証一部上場｜3年連続・過去最高益を更新中｜プライム案件85%,不明,月給24.4万円以上 ※経験・スキル等を考慮し決定 ※試用期間：3ヵ月(同待遇) ※平均年収：808万円(前年度…
34,株式会社SHINKO | ☆年休127日／残業平均月20h以内／5日以上の長期休暇あり,不明,月給19万〜32万円＋各種手当＋賞与年2回（昨年度実績3ヶ月分） ※残業手当は別途全額支給します。 ※試用…
35,株式会社日本デザインセンター | 【大手有名企業と直取引・60年安定収支】★年間休日120日以上,430万円～550万円,■月給27万円〜34.5万円＋賞与年2回（昨年実績6ヶ月） ※あなたの経験やスキルに応じて、当社規定により…
36,株式会社KDDIエボルバ | [業績好調★2年連続新ビルOPEN！]◎年休123日◎完全週休2日,320万円～380万円,"月給23万1,000円〜26万3,000円+各種手当(残業代は1分単位で支給) ※経験/スキルを考慮 ※試用期間3ヶ月(…"
37,KDDIエンジニアリング株式会社 | 【KDDIグループ】★「健康経営優良法人2021」認定,450万円～650万円,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキルなどを考慮の上、優遇します。 …
38,株式会社日本デザインセンター | 原 研哉 率いるトップ級のデザイン会社◆お客様は大手・有名企業,250万円～400万円,■月給21〜30万円 ※経験やスキルに応じて決定します。 ※みなし残業代(42時間分、5万6000円〜7万9000円)…
39,国立研究開発法人 情報通信研究機構 | ICTで未来を創造する日本唯一の公的研究機関,不明,"月給19万7,500 円　〜　34万5,500 円 ※経験・年齢により変動します。 ※試用期間6ヵ月（同条件）"
40,株式会社KDDIエボルバ | [スマホでOK！WEB面接]★将来役立つ知識を習得できる★年休123日,250万円～300万円,月給19万円〜＋各種手当 ※試用期間3ヶ月間(給与変動なし) [月収例] 月収23万円 ＝月給19万円＋残業手…
41,三英電設株式会社 | ★賞与年3回(4.5～5ヶ月分) ★残業平均1日1h程度 ★原則土日祝休,350万円～500万円,【経験者】 月給30万円以上 + 諸手当 + 賞与年3回 【未経験】 月給20万円〜30万円 + 諸手当 + 賞与年3回 …
42,株式会社これから | 【ネットビジネスを底上げする成長企業】◆年休127日◆土日祝休,350万円～1320万円,月給:23万円〜100万円＋業績給（売上に応じて毎月支給） ※経験・能力・スキルを考慮の上、決定します。…
43,株式会社日本デザインセンター | 大手企業が出資する日本トップ級のデザイン会社,400万円～600万円,■月給25万5千円〜38万5千円＋賞与年2回（昨年実績6.5ヵ月分） ※経験やスキルに応じて決定します。 ※み…
44,株式会社日本デザインセンター | 原 研哉 率いる日本トップクラスのデザイン会社,500万円～850万円,月給27万円〜34万5千円＋賞与年2回（昨年実績6.5ヵ月分） ※経験やスキルに応じて決定します。 ※みなし…
45,横浜植木株式会社 | ＼今年で創立130周年／明治中期から続く、園芸会社のパイオニア,540万円～720万円,月給34.2万円〜45.6万円＋各種手当・賞与年2回支給 ※経験やスキルを考慮し、優遇します。
46,株式会社KDDIエボルバ | 完全週休2日/年休123日/残業ほぼナシ/コロナ対策万全(WEB面接OK),不明,"月給17万6,000円〜＋各種手当【原則定時退社ですが、残業代は1分単位で支給！】 ※試用期間3ヶ月（待遇の…"
47,株式会社ルーク | 賞与年2回/土日祝休み/在宅勤務あり/大阪府緊急雇用対策に賛同,300万円～400万円,■月給24〜30万円+インセンティブ+賞与 給与額は経験やスキルを考慮して決定します。 上記には固定残業…
48,アイサンテクノロジー株式会社 | JASDAQ上場　※年間休日125日／フレックス／平安通駅 徒歩10分,不明,月給22万円〜30万円＋各種手当＋賞与 ※昨年度実績5.14ヶ月分 ※経験・能力などを考慮して決定します。
49,株式会社KDDIエボルバ | 【auでおなじみのKDDIグループ】転勤ナシ／完全週休2日／駅至近,300万円～400万円,"月給20万3,500円以上 ＋残業代別途支給＋各種諸手当＋一時金(会社の業績による) ※経験・能力を考慮のう…"
50,株式会社KDDIエボルバ | [WEB面接OK]#9:30~18:30日中のみの勤務#残業ほぼナシ#年休123日,不明,"月給17万6,000円〜＋各種手当【原則定時退社ですが、残業代は1分単位で支給！】 ※試用期間3ヶ月（待遇の…"
51,株式会社KDDIエボルバ | 【auでおなじみのKDDIグループ】転勤ナシ／完全週休2日／駅至近,300万円～400万円,"月給219,500円〜275,500円 ＋残業代別途支給＋各種諸手当＋一時金(会社の業績による) ※経験・能力を考…"
52,株式会社KDDIエボルバ | ★10月入社の方にお祝い金2万円支給★キレイな職場！見学もOK,250万円～330万円,"月給16万5,500円〜18万1,500円 ＋各種手当+一時金支給の実績あり(前年度実績10万円×年2回/業績による) …"
53,株式会社アイルネット | 【創業50周年】＊月残業20h程度＊定着率90%以上,不明,◆月給24万円〜30万円+（皆勤手当1万円/毎月）+残業代 ☆残業代は別途全額支給します。 ※前職の給料を…
54,株式会社ＪＷソリューション | 【東証一部上場グループ会社】★残業月10H以下★完全週休2日制,不明,【関東】 月給22万円以上＋賞与年2回＋インセンティブ ※上記は、固定残業代（月15時間分／2万2000円以上…
55,KDDIエンジニアリング株式会社 | 【KDDI(東証1部上場)の子会社】★「健康経営優良法人2021」認定,450万円～650万円,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキルなどを考慮の上、優遇します。 …
56,日本メディコム株式会社 | 9月18日（土）マイナビ転職フェア大分に出展します！,不明,"月給／176,000円〜300,000円 + 諸手当 ◆経験者の方は月給30万円以上も可能！ ※年齢、経験、能力を考…"
57,KDDIエンジニアリング株式会社 | 【KDDIグループ】★「健康経営優良法人2021」認定★年休120日～,450万円～650万円,【月給24万1000円〜33万3000円】 ＋各種手当 ＋賞与年2回 ★経験・スキルなどを考慮の上、優遇します。 …
58,アイトー電設株式会社 | ■中部電力・ケーブTV局・KDDIなど仕事を継続中の安定性◎,300万円～850万円,【日給月給：24万円〜50万円以上＋諸手当＋賞与（年2回）】 ◎年収850万円以上も可能 長く勤めれば、勤め…
59,株式会社KDDIエボルバ | 【業績好調！】仙台駅近★昨年末にOPENしたばかりの職場で勤務♪,250万円～350万円,"月給17万3,500円＋各種手当 ※試用期間は3ヶ月間（給与変動なし） 【月収例】 月収21万8,900円 ＝月給1…"
60,株式会社KDDIエボルバ | [WEB面接OK]#完全週休2日#年休123日#転勤なし#仙台駅近#50名募集,250万円～350万円,月給19万円〜＋各種手当【原則定時退社ですが、残業代は1分単位で支給！】 ※試用期間3ヶ月（待遇の変動…
61,株式会社KDDIエボルバ | #入社お祝い金2万円#完全週休2日#年休123日#会社見学会実施中,250万円～330万円,"月給：165,500円〜202,500円 ＋各種手当+一時金支給の実績あり(前年度実績10万円×年2回/業績による) ※…"
62,興栄商事株式会社 | ◆リサイクル・リユース事業で地球環境に貢献◆4期連続で利益UP,350万円～450万円,月給23万円〜26万円+時間外手当+諸手当＋賞与年2回（2020年度実績：賞与2回＋決算賞与　計4.3ヵ月分） ※…
63,株式会社エムデジ | 《希望勤務地で採用》残業なし＆育児とも両立できる働きやすさ！,300万円～450万円,"月給18万2,000円〜20万8,400円 ※年齢を考慮の上、当社規定により決定します。 ※試用期間3カ月あり（同…"
64,ドリームカプセル株式会社 | 11年連続で増収黒字の安定基盤｜全国に直営店を積極展開中,不明,月給19万〜30万円 ※あなたの経験・能力を考慮し、決定します。
65,株式会社KDDIエボルバ | 【auでおなじみのKDDIグループ】転勤ナシ／完全週休2日／駅至近,250万円～300万円,"月給18万4,000円以上 ＋残業代別途支給＋各種諸手当＋一時金(会社の業績による) ※経験・能力を考慮のう…"
66,株式会社カズテクニカ | 世界トップクラスの企業と取引多数◆年休120日以上◆賞与年2回,300万円～450万円,月給20万〜30万円 ※年齢・能力を考慮の上決定いたします。 ※能力に応じて上記以上の加給もございます。…
67,トヨタカローラ愛知株式会社 | [トヨタ自動車の正規ディーラー]大手ならではの福利厚生など魅力,不明,月給20万円以上＋各種手当＋賞与年2回 ※上記月給は入社時の最低保障額です。 ※経験・能力を考慮し、 …
68,auフィナンシャルサービス株式会社 | au PAY カードなど金融・決済サービスを展開◆フレックスタイム,不明,◇月給23万円〜38.5万円 ※月給23万円はあくまで最低保証金額です。 年齢・経験・スキルを考慮の上、当社…
69,"大栄電気株式会社 | 【連結売上2,288億円・新菱冷熱グループ】★昨年度賞与6.0カ月分",400万円～700万円,月給／26万円〜 ※上記は最低支給額です。年齢、経験・スキルおよび、前職給与を最大限考慮し、決定いた…
70,株式会社アイルネット | 2021年秋に銀座に新規オープン/新規立ち上げによるの募集です！,不明,月給40万円以上
